birds,sharp
trace,track
ship,knowledge
vast,beautiful
tower,constantly
life,write
program,manner
huge,edge
string,highway
useful,truth
instance,dirty
sum,butter
though,suppose
was,folks
down,floating
everything,yellow
atomic,everyone
process,hunt
save,face
football,wind
worry,teacher
hall,thy
easier,thick
natural,driver
ever,read
down,sand
garage,species
edge,serious
tie,industrial
topic,have
pen,motion
range,dress
owner,score
tide,leader
better,cast
income,known
shall,lonely
political,fact
sang,improve
